,'station',date,storage
63,ORO,03-04,2241864.64516129
64,ORO,03-05,2252481.9677419355
65,ORO,03-06,2259536.64516129
66,ORO,03-07,2271581.2580645164
67,ORO,03-08,2309241.933333333
68,ORO,03-09,2323154.966666667
69,ORO,03-10,2338369.3
70,ORO,03-11,2321807.0967741935
71,ORO,03-12,2331021.9677419355
72,ORO,03-13,2340530.2580645164
73,ORO,03-14,2351756.5161290322
74,ORO,03-15,2394661.3
75,ORO,03-16,2405827.533333333
76,ORO,03-17,2416549.5
77,ORO,03-18,2392252.2580645164
78,ORO,03-19,2383515.9
79,ORO,03-20,2404199.7741935486
80,ORO,03-21,2410873.935483871
81,ORO,03-22,2451697.033333333
82,ORO,03-23,2422721.129032258
83,ORO,03-24,2400696.8125
84,ORO,03-25,2443004.193548387
85,ORO,03-26,2449045.0967741935
86,ORO,03-27,2440361.5
87,ORO,03-28,2461134.2258064514
88,ORO,03-29,2501609.2666666666
89,ORO,03-30,2509891.8333333335
90,ORO,03-31,2485690.6129032257
91,ORO,04-01,2494332.7419354836
92,ORO,04-02,2502285.6774193547
93,ORO,04-03,2511750.6774193547
94,ORO,04-04,2521400.9677419355
95,ORO,04-05,2561336.566666667
96,ORO,04-06,2568550.466666667
97,ORO,04-07,2577774.9
98,ORO,04-08,2555059.6129032257
99,ORO,04-09,2562397.580645161
100,ORO,04-10,2568968.5161290322
101,ORO,04-11,2574870.4838709678
102,ORO,04-12,2611135.6
103,ORO,04-13,2618794.966666667
104,ORO,04-14,2595381.4516129033
105,ORO,04-15,2601304.2580645164
106,ORO,04-16,2606488.3225806453
107,ORO,04-17,2612604.64516129
108,ORO,04-18,2618975.1612903224
109,ORO,04-19,2653641.033333333
110,ORO,04-20,2660166.1
111,ORO,04-21,2665682.1666666665
112,ORO,04-22,2643070.0967741935
113,ORO,04-23,2649214.709677419
114,ORO,04-24,2655869.870967742
115,ORO,04-25,2662205.0322580645
116,ORO,04-26,2697542.933333333
117,ORO,04-27,2703075.2333333334
118,ORO,04-28,2677867.709677419
119,ORO,04-29,2684610.7419354836
120,ORO,04-30,2689727.193548387
121,ORO,05-01,2697111.870967742
122,ORO,05-02,2703037.6774193547
123,ORO,05-03,2738677.7666666666
124,ORO,05-04,2741726.466666667
125,ORO,05-05,2713043.7741935486
126,ORO,05-06,2717582.935483871
127,ORO,05-07,2720110.1612903224
128,ORO,05-08,2724656.5483870967
129,ORO,05-09,2728988.7741935486
130,ORO,05-10,2765421.433333333
131,ORO,05-11,2766621.3666666667
132,ORO,05-12,2732788.7419354836
133,ORO,05-13,2733052.1612903224
134,ORO,05-14,2732492.3870967743
135,ORO,05-15,2732256.290322581
136,ORO,05-16,2733274.419354839
137,ORO,05-17,2769953.1
138,ORO,05-18,2772811.1
139,ORO,05-19,2740341.0322580645
140,ORO,05-20,2749608.59375
141,ORO,05-21,2743856.2258064514
142,ORO,05-22,2746011.4516129033
143,ORO,05-23,2746796.3225806453
144,ORO,05-24,2783896.2333333334
145,ORO,05-25,2784851.5
146,ORO,05-26,2785116.1
147,ORO,05-27,2748305.8387096776
148,ORO,05-28,2749006.709677419
149,ORO,05-29,2749427.709677419
150,ORO,05-30,2749927.129032258
151,ORO,05-31,2790132.933333333
152,ORO,06-01,2789633.066666667
153,ORO,06-02,2747966.1612903224
154,ORO,06-03,2746306.35483871
155,ORO,06-04,2744112.193548387
156,ORO,06-05,2741902.1612903224
157,ORO,06-06,2781471.933333333
158,ORO,06-07,2779069.3666666667
159,ORO,06-08,2776870.6666666665
160,ORO,06-09,2732040.3870967743
161,ORO,06-10,2728490.8387096776
162,ORO,06-11,2725858.3225806453
163,ORO,06-12,2723349.6129032257
164,ORO,06-13,2719492.64516129
165,ORO,06-14,2758089.7
166,ORO,06-15,2754603.5
167,ORO,06-16,2709546.65625
168,ORO,06-17,2703918.5
169,ORO,06-18,2698514.53125
170,ORO,06-19,2691393.419354839
171,ORO,06-20,2685774.2258064514
172,ORO,06-21,2725309.9677419355
173,ORO,06-22,2719187.5161290322
174,ORO,06-23,2668861.59375
